,,,,,,,,,,,
,Romaji,Hiragana/Katakana,Kanji,Traducción Español,Traducción Inglés,Ejemplo,Ejemplo en español,Ejemplo en inglés,Nota en español,Nota en inglés,Minna no Nihongo
,Kinō ,きのう,昨日,Ayer,Yesterday,,,,,,Lección 4
,Kyō ,きょう,今日,Hoy,Today,,,,,,Lección 4
,Ashita,あした,明日,Mañana,Tomorrow,,,,,,Lección 4
,Asatte,あさって,明後日,Pasado mañana,The day after tomorrow,,,,,,Lección 4
,Kesa,けさ,今朝,Esta mañana,This morning,,,,,,Lección 4
,Konban,こんばん,今晚,Esta noche,This night,,,,,,Lección 4
,Yasumi,やすみ,休み,Descanso・Dia libre・Feriado,Break・Free day,,,,,,Lección 4
,Hiroyasumi,ひるやすみ,昼休み,Descanso de mediodia・Descanso para almorzar,Lunch break,,,,,,Lección 4
,Maiasa,まいあさ,毎朝,Todas las mañanas,Every morning,,,,,,Lección 4
,Maiban,まいばん,毎晩,Todas las noches,Every night,,,,,,Lección 4
,Mainichi,まいにち,毎日,Todos los dias,Every day,,,,,,Lección 4
,Getsuyōbi,げつようび,月曜日,Lunes,Monday,,,,,,Lección 4
,Kayōbi,かようび,火曜日,Martes,Tuesday,,,,,,Lección 4
,Suiyōbi,すいようび,水曜日,Miercoles,Wednesday,,,,,,Lección 4
,Mokuyōbi,もくようび,木曜日,Jueves,Thursday,,,,,,Lección 4
,Kinyōbi,きにょうび,金曜日,Viernes,Friday,,,,,,Lección 4
,Doyōbi,どうようび,土曜日,Sabado,Saturday,,,,,,Lección 4
,Nichiyōbi,にちようび,日曜日,Domingo,Sunday,,,,,,Lección 4
,Bangō,ばんごう,番号,Numero,Number,,,,,,Lección 4
,Nanban,なんばん,何番,¿Que numero?,What number?,,,,,,Lección 4
,〜Kara,〜から,,Desde,From,,,,,,Lección 4
,〜Made,〜まで,,Hasta,To,,,,,,Lección 4
,〜To〜,〜と〜,,Y,And,,,,,,Lección 4
,Taihendesune,たいへんですね,大変ですね,Esta dificil no?(se usa para expresar simpatia por la dificultad de la otra persona),It's difficult huh?,,,,,,Lección 4
,E-to,えーと,,"Esto...・Bueno...(Se usa para hacer una pausa de forma que la persona se ""prepare""o ""reorganice sus pensamientos"")",Um・Uh・Well(It's used to make a pause so the speaker prepare himself or reorganize his taught),,,,,,Lección 4
,Onegaishimasu,おねがいします,お願いします,Por favor(se usa al pedir algo),Please(It's used when you ask for something),,,,,,Lección 4
,Kashikomarimashita,,,Entendido・Muy bien(expresión utilizada al recibir el pedido de un cliente),Ok・Good(It's used then you receive an order or request from a client),,,,,,Lección 4
,Otoiawasenopangō,おといあわせのぱんごう,お問い合わせの番号,,,,,,,,Lección 4
,Nyu-yo-ku,ニューヨーク,,Nueva york,New york,,,,,,Lección 4
,Pekin,ペキン,,Pekín,Pekin,,,,,,Lección 4
,Rondon,ロンドン,,Londres,London,,,,,,Lección 4
,Bankoku,バンコク,,Bangkok,Bangkok,,,,,,Lección 4
,Rosanzerusu,ロサンゼルス,,Los Ángeles,Los Ángeles,,,,,,Lección 4
,Okujō,おくじょう,屋上,Techo,Rooftop,,,,,,Lección 4
,Yūenchi,ゆうえんち,遊園地,Parque de diversiones,Amusement park,,,,,,Lección 4
,Shokudō,しょくどう,食堂,Restaurante,Restaurante,,,,,,Lección 4
,Moyōshimonokaishō,もよおしものかいじょう,催し物会場,Salón de eventos,Event venue,,,,,,Lección 4
,Megane,めがね,眼鏡,Gafas,Glases,,,,,,Lección 4
,Supōtsuyōhin,スポーツようひん,スポーツ用品,Artículos de deporte,Sports equipment,,,,,,Lección 4
,Ryokōyōhin,りょこうようひん,旅行用品,Articulos de viaje,Travel goods,,,,,,Lección 4
,Kodomo fuku,こどもふく,子ども服,Ropa de niños,Children clothes,,,,,,Lección 4
,Omocha,おもちゃ,玩具,Juguetes,Toys,,,,,,Lección 4
,Bunbōgu,ぶぼうぐ,文房具,Artículos de papelería,Stationery,,,,,,Lección 4
,Kagu,かぐ,家具,Muebles,Furniture,,,,,,Lección 4
,Shokki,しょっき,食器,Porcelana,Tableware,,,,,,Lección 4
,Denkiseihin,でんきせいひん,電気製品,Electrodomésticos,Electronic goods,,,,,,Lección 4
,Shinshi fuku,しんしふんく,紳土服,Artículos para caballeros,Men clothes,,,,,,Lección 4
,Fujin fuku,ふじんふく,婦人服,Artículos para mujer,Women clothes,,,,,,Lección 4
,Akusesarii,アクセサリー,,Bisutería,Accessories,,,,,,Lección 4
,Keshōhin,けしょうひん,化粧品,Cosméticos,Cosmetics,,,,,,Lección 4
,Shokuryōhin,しょくりょうひん,食料品,Alimentos,Food,,,,,,Lección 4
,Chūshijō,ちゅうしゃじょう,駐車場,Estacionamiento,Parking lot,,,,,,Lección 4
,Ikimasu,いきます,行きます,Ir,Go,,,,,,Lección 5
,Kimasu,きます,きます,Venir,Come,,,,,,Lección 5
,Kaerimasu,かえります,かえります,"Volver (casa, país)",Return / Come back,,,,,,Lección 5
,Gakkō,がっこう,学校,Escuela,School,,,,,,Lección 5
,Eki,えき,駅,Estación de tren,Train station,,,,,,Lección 5
,Hikōki,ひこうき,飛行機,Avión,Airplane,,,,,,Lección 5
,Fune,ふね,船,Barco,Ship,,,,,,Lección 5
,Densha,でんしゃ,電車,Tren eléctrico,Electric train,,,,,,Lección 5
,Chikatetsu,ちかてつ,地下鉄,Tren subterraneo,Subway,,,,,,Lección 5
,Shinkansen,しんかんせん,新幹線,Tren bala,Bullet train,,,,,,Lección 5
,Jitensha,じてんしゃ,自転車,Bicicleta,Bicycle,,,,,,Lección 5
,Takushi-,タクシー,タクシー,Taxi,Taxi,,,,,,Lección 5
,Basu,バス,バス,Autobús,Bus,,,,,,Lección 5
,Aruite,あるいて,歩いて,A pie,By feet,,,,,,Lección 5
,Hito,ひと,人,Persona,Person,,,,,,Lección 5
,Tomodachi,ともだち,友達,Amigo,Friend,,,,,,Lección 5
,Kare,かれ,彼,Novio,Boyfriend,,,,,,Lección 5
,Kanojo,かのじょ,彼女,Novia,Girlfriend,,,,,,Lección 5
,Kazoku,かぞく,家族,Familia,Family,,,,,,Lección 5
,Hitoride,ひとりで,一人で,Solo,Alone,,,,,,Lección 5
,Senshū,せんしゅう,先週,La semana pasada,Last week,,,,,,Lección 5
,Konshū,こんしゅう,今週,Esta semana,This week,,,,,,Lección 5
,Chiishū,らいしゅう,来週,La semana que viene,Next week,,,,,,Lección 5
,Sengetsu,せんげつ,先月,El mes pasado,Last month,,,,,,Lección 5
,Kongetsu,こんげつ,今月,Este mes,This month,,,,,,Lección 5
,Raigetsu,らいげつ,来月,El mes que viene,Next month,,,,,,Lección 5
,Kyōnen,きょうねん,去年,El año pasado,Last year,,,,,,Lección 5
,Kotoshi,ことし,今年,Este año,This year,,,,,,Lección 5
,Rainen,らいねん,来年,El año que viene,Next year,,,,,,Lección 5
,Tsuitachi,ついたち,一日,Día 1,Day 1st,,,,,,Lección 5
,Futsuka,ふつか,二日,Día 2,Day 2nd,,,,,,Lección 5
,Mikka,みっか,三日,Día 3,Day 3rd,,,,,,Lección 5
,Yōka,よっか,四日,Día 4,Day 4th,,,,,,Lección 5
,Itsuka,いつか,五日,Día 5,Day 5th,,,,,,Lección 5
,Muika,むいか,六日,Día 6,Day 6th,,,,,,Lección 5
,Nanoka,なのか,七日,Día 7,Day 7th,,,,,,Lección 5
,Yōka,ようか,八日,Día 8,Day 8th,,,,,,Lección 5
,Kokonoka,ここのか,九日,Día 9,Day 9th,,,,,,Lección 5
,Tooka,とおか,十日,Día 10,Day 10th,,,,,,Lección 5
,Jū ___ nichi,じゅう___にち,十 ___ 日,"Día 11, 12, 13","Day 11th, 12th, 13th",,,,,,Lección 5
,Jūyōka,じゅうよっか,十四日,Día 14,Day 14th,,,,,,Lección 5
,Jū ___ nichi,じゅう___にち,十 ___ 日,"Día 15, 16, 17, 18, 19","Day 15th, 16th, 17th, 18th, 19th",,,,,,Lección 5
,Hatsuka,はつか,二十日,Día 20,Day 20th,,,,,,Lección 5
,Nijū ___ nichi,にじゅう___にち,二十___ 日,"Día 21, 23","Day 21st, 23rd",,,,,,Lección 5
,Nijūyokka,にじゅうよっか,二十四日,Día 24,Day 24th,,,,,,Lección 5
,Nijū ___ nichi,にじゅう___にち,二十___ 日,"Día 25, 26, 27, 28, 29, 30, 31","Day 25th, 26th, 27th, 28th, 29th, 30th, 31st",,,,,,Lección 5
,Itsu ,いつ,,Cuándo,When,,,,,,Lección 5
,Tanjōbi,たんじょうび,誕生日,Cumpleaños,Birthday,,,,,,Lección 5
,Tsugino,つぎの,,El siguiente,The next,,,,,,Lección 5
,Dōitashimijite,どういたしまして,どう致しまして,De nada,You're welcome,,,,,,Lección 5
,Ganjitsu,がんじつ,元日,Año nuevo,New Year's Day,,,,,,Lección 5
,Seijin no hi,せいじんおひ,成人の日,Día de la mayoría de edad,Coming of Age Day,,,,,,Lección 5
,Kenkokukinen no hi,けんこくきねん の ひ,建国記念の日,Fundación del país,National Foundation Day,,,,,,Lección 5
,Shunfun no hi,しゅんふん の ひ,旬分の日,Día del equinoccio de primavera,Spring Equinox Day,,,,,,Lección 5
,Midori no hi,みどり の ひ,みどりの日,Día de verde,Greenery Day,,,,,,Lección 5
,Kenpōkinenbi,けんぽうきねんび,憲法記念日,Día de la constitución,Constitution Memorial Day,,,,,,Lección 5
,Kokumin no kyūjitsu,こくみん の きゅうじつ,国民の休日,Día feriado del pueblo,Citizen's Holiday,,,,,,Lección 5
,Kodomo no hi ,こども の ひ,こどもの日,Día de los niños,Children's Day ,,,,,,Lección 5
,Umi no hi ,うみ の ひ,海の日,Día del mar,Marine Day,,,,,,Lección 5
,Keirō no hi ,けいろうのひ,敬老の日,Día de la tercera edad,Respect-for-the-Aged Day,,,,,,Lección 5
,Jūfun no hi ,じゅうふんのひ,充分の日,Día del equinoccio de otoño,Autumn Equinox Day,,,,,,Lección 5
,Taiiku no hi ,たいいくのひ,体育の日,Día de deportes,Health and Sports Day,,,,,,Lección 5
,Bunka no hi,ぶんかのひ,文化の日,Día de la cultura,Culture Day,,,,,,Lección 5
,Kinrōkansha no hi ,きんろうかんしゃのひ,勤労感謝の日,Día de agradecimiento a la labor,Labor Thanksgiving Day,,,,,,Lección 5
,Tennōtanjouhi,てんのうたんじょうひ,天皇誕生日,Día del emperador,The emperor's birthday,,,,,,Lección 5
,Tabemasu,たべます,食べます,Tabemasu,Eat,,,,,,Lección 6
,Nomimasu,のみます,飲みます,Beber,Drink,,,,,,Lección 6
,Suimasu,すいます,吸います,Fumar,Smoke,,,,,,Lección 6
,Mimasu,みます,見ます,Mirar,Watch,,,,,,Lección 6
,Kikimasu,ききます,聞きます,Escuchar,Listen,,,,,,Lección 6
,Kakimasu,かきます,書きます,"Escribir, dibujar","Write, draw",,,,,,Lección 6
,Kaimasu,かいます,買います,Comprar,Buy,,,,,,Lección 6
,Yomimasu,よみます,読みます,Leer,Read,,,,,,Lección 6
,Torimasu,とります,取ります,Sacar (una foto),Take (a picture),,,,,,Lección 6
,Shimasu,します,,"Hacer, jugar, celebrar","Do, play, celebrate",,,,,,Lección 6
,Aimasu,あいます,会います,Encontrarse con alguien,Meet someone,,,,,,Lección 6
,Gohan,ごはん,ご飯,Arroz cocinado,Cooked rice,,,,,,Lección 6
,Asagohan,あさごはん,朝ごはん,Desayuno,Breakfast,,,,,,Lección 6
,Hirugohan,ひるごはん,昼ごはん,Almuerzo,Lunch,,,,,,Lección 6
,Bangohan,ばんごはん,晩ごはん,Cena,Dinner,,,,,,Lección 6
,Pan,パン,,Pan,Bread,,,,,,Lección 6
,Tamago,たまご,卵,Huevo,Egg,,,,,,Lección 6
,Niku,にく,肉,Carne,Meat,,,,,,Lección 6
,Sakana,さかな,魚,Pescado,Fish,,,,,,Lección 6
,Yasai,やさい,野菜,Verdura,Vegetable,,,,,,Lección 6
,Kudamono,くだもの,果物,Fruta,Fruit,,,,,,Lección 6
,Mizu,みず,水,Agua,Water,,,,,,Lección 6
,Oocha,おおちゃ,おお茶,Té verde,Green tea,,,,,,Lección 6
,Akacha,あかちゃ,赤茶,Té rojo,Red tea,,,,,,Lección 6
,Gyūnyū,ぎゅうにゅう,牛乳,Leche de vaca,(Cow's) Milk,,,,,,Lección 6
,Osake,おさけ,お酒,Sake,Sake,,,,,,Lección 6
,Ju-su,ジュース,,Jugo,Juice,,,,,,Lección 6
,Bi-ru,ビール,,Cerveza,Beer,,,,,,Lección 6
,Eiga,えいが,映画,Película,Movie,,,,,,Lección 6
,Tsugami,てがみ,手紙,Carta,Letter,,,,,,Lección 6
,Repo-to,レポート,,Informe,Report,,,,,,Lección 6
,Shashin,しゃしん,写真,Foto,Picture,,,,,,Lección 6
,Mise,みせ,店,Tienda,Shop / store,,,,,,Lección 6
,Niwa,にわ,庭,Jardín,Garden,,,,,,Lección 6
,Shūkudai,しゅくだい,宿題,Tarea,Homework,,,,,,Lección 6
,Tenisu,テニス,,Tenis,Tennis,,,,,,Lección 6
,Sakka-,サッカー,,Fútbol,Soccer,,,,,,Lección 6
,Yakyū,やきゅう,野球,Béisbol,Baseball,,,,,,Lección 6
,Isshoni,いっしょに,一緒に,Juntos,Together,,,,,,Lección 6
,Chiyōto,ちょっと,一寸,Un poco (tiempo),A little,,,,,,Lección 6
,Itsumo,いつも,何時も,Siempre,Always,,,,,,Lección 6
,Tokidoki,ときどき,時々,A veces,Sometimes,,,,,,Lección 6
,Sorekara,それから,其れから,"Entonces, y después",Then,,,,,,Lección 6
,Ii desune,いいですね,,Buena idea,Good idea,,,,,,Lección 6
,Wakarimashita,わかりました,分かりました,Entendido,Got it/understood,,,,,,Lección 6
,Kyūri,きゃうり,胡瓜,Pepino,Cucumber,,,,,,Lección 6
,Tomato,トマト,,Tomate,Tomato,,,,,,Lección 6
,Nasu,なす,茄子,Berenjena,Eggplant,,,,,,
,Mame,まめ,豆,"Frijoles, porotos",Beans,,,,,,Lección 6
,Mame,キャベツ,,"Col, repollo",Cabagge,,,,,,Lección 6
,Kyabutsu,ねぎ,葱,Cebolla verde,Green onion,,,,,,Lección 6
,Nugi,はくさい,白菜,Col chino,Chinese cabagge,,,,,,Lección 6
,Horensō,ほれんそう,ほうれん草,Espinaca,Spinach,,,,,,Lección 6
,Retasu,レタス,,Lechuga,Lettuce,,,,,,Lección 6
,Jagaimo,じゃガいも,じゃが芋,"Papas, patatas",Potato,,,,,,Lección 6
,Daikon,だいこん,大根,Nabo japonés,Radish,,,,,,Lección 6
,Tamanegi,たまねぎ,玉ねぎ,Cebolla,Onion,,,,,,Lección 6
,Ninjin,にんじん,人参,Zanahoria,Carrot,,,,,,Lección 6
,Ichigo,いちご,苺,"Fresas, frutilla",Strawberry,,,,,,Lección 6
,Momo,もも,桃,"Melocotón, durazno",Peach,,,,,,Lección 6
,Suika,すいか,西瓜,Sandía,Watermelon,,,,,,Lección 6
,Budō,ぶどう,葡萄,Uvas,Grapes,,,,,,Lección 6
,Nashi,なし,梨,Pera japonesa ,Pear,,,,,,Lección 6
,Kaki,かき,柿,"Kaki, caqui",Persimmon,,,,,,Lección 6
,Mikan,みかん,蜜柑,"Naranja, mandarina","Orange, Mandarin, Tangerine",,,,,,Lección 6
,Ringo,りんご,林檎,Manzana,Apple,,,,,,Lección 6
,Banana,バナナ,,"Plátano, banana",Banana,,,,,,Lección 6
,Niku,にく,肉,Carne,Meat,,,,,,Lección 6
,Kyūniku,ぎゅうにく,牛肉,Carne de vacuna,Beef,,,,,,Lección 6
,Torinuku,とりにく,鶏肉,Pollo,Chicken,,,,,,Lección 6
,Butaniku,ぶたにく,豚肉,Cerdo,Pork,,,,,,Lección 6
,Sōsēji,ソーセージ,,Salchicha,Sausage,,,,,,Lección 6
,Hamu,ハム,,Jamón,Ham,,,,,,Lección 6
,Kome,こめ,米,Arroz (crudo),(Uncooked) Rice,,,,,,Lección 6
,Gohan,ごはん,ご飯,Arroz (cocido),(Cooked) Rice,,,,,,Lección 6
,Aji,あじ,鯵,Jurel,Horse mackerel,,,,,,Lección 6
,Iwashi,いわし,鰯,Sardina,Sardine,,,,,,Lección 6
,Saba,さば,鯖,Caballa,Mackerel ,,,,,,Lección 6
,Sanma,さんま,秋刀魚,Caballa lucio,Pacific saury,,,,,,Lección 6
,Sake,さけ,鮭,Salmón,Salmon,,,,,,Lección 6
,Maguro / Tsuna,まぐろ / ツナ,鮪,Atún,Tuna,,,,,,Lección 6
,Tai,たい,鯛,Besugo,Sea bream,,,,,,Lección 6
,Tara,たら,鱈,Bacalao,Cod,,,,,,Lección 6
,Kai,かい,貝,Conchas,Seashell,,,,,,Lección 6
,Kirimasu,きります,切ります,"Cortar, desconectar","Cut, disconnect",,,,,,Lección 7
,Okurimasu,おくります,送ります,Enviar,Send,私は送りますメール / watashi wa okurimasu mēru,Enviaré un correo electrónico.,,,,Lección 7
,Agemasu,あげます,上げます,Regalar,Give (a present),,,,,,Lección 7
,Moraimasu,もらいます,貰います,Recibir regalos,Get (a present),,,,,,Lección 7
,Kashimasu,かします,貸します,Prestar,Lend,,,,,,Lección 7
,Karimasu,かります,借ります,Tomar prestado,Borrow,,,,,,Lección 7
,Oshiemasu,おしえます,教えます,Enseñar,Teach,,,,,,Lección 7
,Naraimasu,ならいます,[習います,Aprender,Learn,,,,,,Lección 7
,[Denwa wo] Kakemasu,「でんわを」かけます,電話を〜],Hacer una llamada telefónica,Make a phone call,,,,,,Lección 7
,De,て,手,"Mano, brazo","Hand, arm",,,,,,Lección 7
,Hashi,はし,箸,Palillos,Chopsticks,,,,,,Lección 7
,Supūn,スプーン,,Cuchara,Spoon,,,,,,Lección 7
,Naifu,ナイフ,,Cuchillo,Knife,このナイフは鋭い / Kono naifu wa surudoi,Este cuchillo es filoso,,,,Lección 7
,Fōku,フォーク,,Tenedor,Fork,フォークはフォークです / Fōku wa fōku desu,Forky es un tenedor (referencia de toy story),,,,Lección 7
,Hasami,はさみ,鋏,Tijeras,Scissors,,,,,,Lección 7
,Pasokon,パソコン,,PC,Personal computer,,,,,,Lección 7
,Panchi,パンチ,,Perforadora,Puncher,,,,,,Lección 7
,Hochikisu,ホチキス,,Engrapadora,Stappler,,,,,,Lección 7
,Serotēpu,セロテープ,,Cinta adhesiva,Tape,,,,,,Lección 7
,Keshigimu,けしごむ,消しゴム,Goma de borrar,Chewing gum,,,,,,Lección 7
,Kami,かみ,紙,Papel,Paper,,,,,,Lección 7
,Hana,はな,花,Flor,Flower,これは花です。 / kore wa hana desu.,Esta es una flor.,,,,Lección 7
,Shatsu,シャツ,,Remera,Shirt,,,,,,Lección 7
,Purezento,プレゼント,,Regalo,Present / gift,,,,,,Lección 7
,Nimotsu,にもつ,荷物,"Equipaje, encomienda",Luggage,,,,,,Lección 7
,Okane,おかね,お金,Dinero,Money,,,,,,Lección 7
,Kippu,きっぷ,切符,Boleto,Ticket,,,,,,Lección 7
,Kurisumasu,クリスマス,,Navidad,Christmas,明日はクリスマスですか。/ Ashita wa kurisumasu desu ka.,¿Mañana es navidad?,,,,Lección 7
,Chichi,ちち,母,Madre (propia),Mother (your own),,,,,,Lección 7
,Haha,はは,お母さん,Madre (ajena),Mother (for others),,,,,,Lección 7
,Otōsan,おとうさん,父,Padre (propio),Father (your own),,,,,,Lección 7
,Okāsan,おかあさん,お父さん,Padre (ajeno),Father (for others),,,,,,Lección 7
NECESITO CONTEXTO PARA SABER BIEN QUÉ ES LO QUE SIGNIFICAN T____T,Mō,もう,,Ya,Already,,,,,,Lección 7
,Mada,まだ,,Todavía,Yet,,,,,,Lección 7
,Korekara,これから,,De ahora en más,From now on,,,,,,Lección 7
,Sobo,そぼ,祖母,Abuela (propia),Grandmother (your own),,,,,,Lección 7
,Obāsan,おばあさん,お祖母さん,Abuela (ajena),Grandmother (for others),,,,,,Lección 7
,Sofu,そふ,祖父,Abuelo (propio),Grandfather (your own),,,,,,Lección 7
,Ojīsan,おじいさん,お祖父さん,Abuelo (ajeno),Grandfather (for others),,,,,,Lección 7
,Sofubo,そふぼ,祖父母,Abuelos,Grandparents,,,,,,Lección 7
,Ryōshin,りょうしん,両親,Padres (propios),Parents (your own),,,,,,Lección 7
,Goryōshin,ごりょうしん,ご両親,Padres (ajenos),Parents (for others),,,,,,Lección 7
,Imōto,いもうと,妹,Hermana menor (propia),Youger sister (your own),,,,,,Lección 7
,Imōtosan,いもうとさん,妹さん,Hermana menor (ajena),Youger sister (for others),,,,,,Lección 7
,Otōto,おとうと,弟,Hermano menor (propio),Younger brother (your own),,,,,,Lección 7
,Otōtosan,おとうとさん,弟さん,Hermano menor (ajeno),Younger brother (for others),,,,,,Lección 7
,One,おね,お姉,Hermana mayor (propia),Older sister (your own),,,,,,Lección 7
,Onēsan,おねえさん,お姉さん,Hermana mayor (ajena),Older sister (for others),,,,,,Lección 7
,Oni,おに,お兄,Hermano mayor (propio),Older brother (your own),,,,,,Lección 7
,Onīsan,おにいん,お兄さん,Hermano mayor (ajeno),Older sister (for others),,,,,,Lección 7
,Kyōdai,きょうだい,兄弟,Hermanos (propios),Siblings (your own),,,,,,Lección 7
,Gokyōdai,ごきょうだい,ご兄弟,Hermanos (ajenos),Siblings (for others),,,,,,Lección 7
,Tsuma • Kanai,つま・かない,妻 / 家内,Esposa (propia),Wife (your own),,,,,,Lección 7
,Okusan,おくさん,奥さん,Su señora/esposa (ajena),Wife (for others),,,,,,Lección 7
,Otto • Jūjin,おっと・じゅうじん,夫 / 主人,Marido (propio),Husband (your own),,,,,,Lección 7
,Goshujin,ごしゅじん,ご主人,Su esposo (ajeno),Husband (for others),,,,,,Lección 7
,Fūfu,ふうふ,夫婦,Matrimonio (propio),Marriage (your own),,,,,,Lección 7
,Gofūfu,ごふうふ,ご夫婦,El matrimonio (ajeno),Marriage (for others),,,,,,Lección 7
,Musume,むすめ,娘,Hija (propia),Daughter (your own),,,,,,Lección 7
,Musumesan,むすめさん,娘さん,Su hija (ajena),Daughter (for others),,,,,,Lección 7
,Musungo,むすこ,息子,Hijo (propio),Son (your own),,,,,,Lección 7
,Musungosan,むすこさん,息子さん,Su hijo (ajeno),Son (for others),,,,,,Lección 7
,Kodomo,こども,子供,Hijos (propio),Children (your own),,,,,,Lección 7
,Okosan,おこさん,お子さん,Sus hijos (ajeno),Children (for others),,,,,,Lección 7
LECCIÓN 8,Hansemu [na],ハンサム 「な」,,"Guapo, atractivo (solo hombres)",Handsome,,,,,,Lección 8
,Kirei [na],きれい「な」,綺麗 [な],"Hermoso, limpio (lugares, objetos)",Beautiful,,,,,,Lección 8
,Shizuka [na],しずか「な」,静か [な],Silencioso,Quiet,,,,,,Lección 8
,Nigiyaka [na],にぎやか「な」,賑やか「な」,"Ruidoso, concurrido","Loud, busy, crowded",,,,,,Lección 8
,Yūmei [na],ゆうめい「な」,有名 [な],Famoso,Famous,,,,,,Lección 8
,Shinsetsu [na],しんせつ「な」,親切 [な],Amable,Nice,,,,,,Lección 8
,Genki [na],げんき「な」,元気 [な],"Estar bien, sano","Fine, healthy",,,,,,Lección 8
,Hima [na],ひま「な」,暇 [な],Estar libre,Be free/ Have free time,,,,,,Lección 8
,Benri [na],べんり「な」,便利 [ な],Conveniente,Convenient,,,,,,Lección 8
,Suteki [na],すてき「な」,素敵「な」,"Bonito, fino",Pretty,,,,,,Lección 8
,Ōki,おおき,大きい,Grande,Big,,,,,,Lección 8
,Chisai,ちさい,小さい,Pequeño,Small,,,,,,Lección 8
,Atarashī,あたらしい,新しい,Nuevo,New,,,,,,Lección 8
,Furui,ふるい,古い,Viejo,Old,,,,,,Lección 8
,ī (yoi),いい（よい）,,"Bueno, bien","Good, well",,,,,,Lección 8
,Warui,わるい,悪い,Malo,Bad,,,,,,Lección 8
,Atsui,あつい,暑い、熱,Caluroso,Hot,,,,,,Lección 8
,Samui,さむい,寒い,Frío,Cold,,,,,,Lección 8
,Tsumetai,つめたい,冷たい,Frío (persona),Cold (person),,,,,,Lección 8
,Muzukashī,むずかしい,難しい,Difícil,Difficult,,,,,,Lección 8
,Yasashī,やさしい,易しい,"Fácil, bueno",Easy,,,,,,Lección 8
,Takai,たかい,高い,"Alto, caro","Tall, expensive",,,,,,Lección 8
,Yasui,やすい,安い,Barato,Cheap,,,,,,Lección 8
,Hikui,ひくい,低い,Bajo,Short,,,,,,Lección 8
,Omoshiroi,おもしろい,面白い,Interesante,Interesting,,,,,,Lección 8
,Oishī,おいしい,美味しい,Delicioso,Delicious,,,,,,Lección 8
,Isogashī,いそがしい,忙しい,Ocupado,Busy,,,,,,Lección 8
,Tanoshī,たのしい,楽しい,Divertido,Fun,,,,,,Lección 8
,Shiroi,しろい,白い,Blanco (adjetivo),White (adjetive),,,,,,Lección 8
,Kuroi,くろい,黒い,Negro (adjetivo),Black (adjetive),,,,,,Lección 8
,Akai,あかい,赤い,Rojo (adjetivo),Red (adjetive),,,,,,Lección 8
,Aoi,あおい,青い,Azul (adjetivo),Blue (adjetive),,,,,,Lección 8
,Sakura,さくら,桜,Flor de cerezo,Cherry blossom,,,,,,Lección 8
,Yama,やま,山,Montaña,Mountain,,,,,,Lección 8
,Machi,まち,町,"Población, pueblo","Town, city, population",,,,,,Lección 8
,Tabemano,たべもの,食べ物,Alimentos,Food,,,,,,Lección 8
,Kuruma,くるま,車,Auto,Car,,,,,,Lección 8
,Tokoro,ところ,所,Lugar,Place,,,,,,Lección 8
,Ryori,りょり,寮,Residencia,Residence,,,,,,Lección 8
,Benkyō,べんきょう,勉強,Estudio,"Studio, workshop",,,,,,Lección 8
,Seikatsu,せいかつ,生活,Vida diaria,Daily life,,,,,,Lección 8
,Oshigoto,おしごと,仕事,Trabajo,Work (noun),,,,,,Lección 8
,Dō,どう,,Cómo,How,,,,,,Lección 8
,Donna,どんな,,Qué tipo,What kind of,,,,,,Lección 8
,Dore,どれ,,Cuál,Which ,,,,,,Lección 8
,Totemo,とても,,"Muy, demasiado, tan","Very, too, so",,,,,,Lección 8
,Amari,あまり,,No tanto,"Not very, not really",,,,,,Lección 8
,Soshite,そして,,"Entonces, y después","And then, and later on ",,,,Se usa para conectar oraciones,,Lección 8
,Ogenkidesuka,おげんきですか,,¿Cómo está usted? / ¿Todo bien?,How are you? / everything alright?,,,,,,Lección 8
,Ka,か,,Pero ...,But ...,,,,,,Lección 8
,Sōdesune,そうですね,,Mmm... / Bueno,Hmm / I see,,,,Se ocupa al inicio de una oración cuando se necesita tiempo para pensar en la respuesta.,,Lección 8
,Nihon no seikatsu ni naremashitaka?,にほんのせいかつになれましたか,日本の生活に慣れましたか,¿Se ha acostumbrado a la vida en Japón?,Have you gotten used to live in Japan?/ Have you gotten used to living in Japan?,,,,,,Lección 8
,[...] Mō ippai ikaga desu ka?,[...] もういっぱいいかがですか,[...] もう一杯いかがですか,"¿Le apetece otra taza (copa, vaso) de [...]?",Would you like another cup (glass) of [...]?,,,,,,Lección 8
,"Īe, kekkōdesu",いいえ、けっこうです,,"No, gracias","No, thank you.",,,,,,Lección 8
,Mou (...)desu [ne?],もう (...) です [ね],,"Ya es (...), [¿verdad?]",It's already (...) [right?],,,,,,Lección 8
,Sorosoro shitsureishimasu,そろそろしつれいします,そろそろ失礼します,Es hora de marcharnos,It's time to go.,,,,,,Lección 8
,Mata irasshatte kudasai,またいらっしゃってください,,¡Vuelva a visitarnos!,Come back soon!,,,,Frase habitual al despedirse de invitados,,Lección 8
,Iro,いろ,色,Color,Color,,,,,,Lección 8
,Shiro,しろ,白,Blanco (sustantivo),White (noun),,,,,,Lección 8
,Kuro,くろ,黒,Negro (sustantivo),Black (noun),,,,,,Lección 8
,Aka,あか,赤,Rojo (sustantivo),Red (noun),,,,,,Lección 8
,Ao,あお,青,Azul (sustantivo),Blue (noun),,,,,,Lección 8
